VMailMessage,DayMins,EveMins,NightMins,IntlMins,CustServCalls,DayCalls,DayCharge,EveCalls,EveCharge,NightCalls,NightCharge,IntlCalls,IntlCharge,AreaCode,Phone,AccountLength,Churn,IntlPlan,VMailPlan,State
0,166,74.6,247.9,6.3,0,79,28.22,100,6.34,74,11.16,7,1.7,415,327-1058,112,0,0,0,OK
23,182.1,164.6,128.8,12.7,3,94,30.96,59,13.99,102,5.8,4,3.43,510,327-1319,22,0,0,1,CO
0,110.9,158.5,207.5,6.2,1,91,18.85,115,13.47,131,9.34,5,1.67,510,327-3053,87,0,0,0,AZ
36,87.2,169.3,166.7,10.9,6,92,14.82,110,14.39,80,7.5,5,2.94,510,327-3587,103,1,0,1,UT
0,149,245.3,260,8.3,0,115,25.33,105,20.85,94,11.7,3,2.24,510,327-3850,91,0,0,0,SD
0,198.2,207.3,190.9,8.7,4,87,33.69,76,17.62,113,8.59,3,2.35,415,327-3954,99,0,0,0,AZ
0,230.4,225,198.5,7.6,3,117,39.17,101,19.13,111,8.93,6,2.05,415,327-4795,119,0,0,0,ID
16,143.5,242.6,147.7,11.3,0,76,24.4,58,20.62,95,6.65,3,3.05,510,327-5525,61,0,1,1,OH
29,179.9,189.2,164.3,12.8,3,97,30.58,89,16.08,76,7.39,7,3.46,415,327-5817,98,0,0,1,DE
0,146.9,114.3,114.5,11.4,3,94,24.97,111,9.72,97,5.15,5,3.08,415,327-6087,107,0,0,0,MO
0,168.8,220.3,154.3,10.9,0,97,28.7,87,18.73,113,6.94,2,2.94,415,327-6179,53,0,0,0,NV
0,212.3,228.4,163.3,7.7,0,107,36.09,103,19.41,116,7.35,3,2.08,510,327-6194,85,0,0,0,UT
0,162.3,212.5,214.7,11.1,4,99,27.59,95,18.06,114,9.66,8,3,408,327-6764,105,0,0,0,NE
42,248.9,170.8,104.5,11.2,1,93,42.31,108,14.52,91,4.7,8,3.02,415,327-6989,75,0,0,1,NJ
0,232.1,327.1,226.5,10.9,3,74,39.46,88,27.8,119,10.19,2,2.94,415,327-8495,41,1,0,0,NM
27,221.7,236.1,192.7,8,0,100,37.69,70,20.07,91,8.67,4,2.16,415,327-8732,100,0,0,1,MN
31,142.1,193,253.4,11,1,77,24.16,97,16.41,88,11.4,4,2.97,408,327-9289,52,0,0,1,OH
34,146.4,89.7,220,15.6,2,104,24.89,103,7.62,91,9.9,4,4.21,415,327-9341,122,0,0,1,NJ
0,51.5,164,169.4,9.5,3,90,8.76,98,13.94,80,7.62,4,2.57,408,327-9957,80,0,0,0,DC
23,243.9,133,213.7,13.4,2,112,41.46,106,11.31,123,9.62,11,3.62,415,328-1206,155,0,0,1,OK
0,188.8,217.4,220.1,8.2,4,60,32.1,64,18.48,100,9.9,7,2.21,408,328-1222,118,0,0,0,CO
0,149.2,161.9,197.9,8.3,3,146,25.36,109,13.76,109,8.91,2,2.24,510,328-1373,48,0,0,0,WA
0,175.4,248.1,122.4,12.2,0,130,29.82,105,21.09,85,5.51,4,3.29,415,328-1522,73,0,0,0,AZ
